TIPO,ESTADO,NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,TELEFONO,LATITUD,LONGITUD
acopio,centro del municipio,EDUCAMBIO,Bogotá,Bogotá D.C.,"Casa 54, 79B-40",,,
acopio,centro del municipio,JIT LOGISTIC - FUNDACIÓN TAAP,Mosquera,Cundinamarca,Mosquera Cundinamarca KM 1.5 VIA Bogotá,,,
acopio,centro del municipio,Red de albergues temporales de Buenaventura (52 a 62 sedes),Buenaventura,Valle del Cauca,,602 240 5400,,
acopio,centro del municipio,Punto SCARE de recepcion de medicamentos,Popayán,Cauca,,601 744 8100,,
acopio,centro del municipio,Universidad del Tolima,Ibagué,Tolima,,608 277 1212,,
acopio,centro del municipio,Comite Ambiental del Tolima,Ibagué,Tolima,,320 260 1023,,
acopio,centro del municipio,Centro Vida Violetas de Frailes,Dosquebradas,Risaralda,"Comuna 2, sector Frailes",606 351 5333,,
acopio,centro del municipio,Centro Vida Jose Argemiro Cardenas,Dosquebradas,Risaralda,Bosques de la Acuarela,606 351 5333,,
acopio,centro del municipio,La Graciela,Dosquebradas,Risaralda,cancha de la zona,606 351 5333,,
acopio,centro del municipio,LA MARIANELA COFFEE SHOP,Cali,Valle del Cauca,Avenida 9A # 14 N 73,,,
acopio,centro del municipio,Coliseo Menor de Pereira,Pereira,Risaralda,,,,
acopio,centro del municipio,Villa Olimpica - Plazoleta Risaralda,Pereira,Risaralda,,,,
acopio,centro del municipio,Robledo Mejia,Pereira,Risaralda,,,,
acopio,centro del municipio,Parque Industrial,Pereira,Risaralda,,,,
acopio,centro del municipio,Coliseo El Cacique,Quimbaya,Quindío,,,,
acopio,centro del municipio,Coliseo Municipal de Salento,Salento,Quindío,,,,
acopio,centro del municipio,Camara de Comercio de Chinchina,Chinchiná,Caldas,Calle 10 #6-08,,,
acopio,centro del municipio,Cuerpo de Bomberos de Chinchina,Chinchiná,Caldas,,,,
acopio,centro del municipio,Parque principal de Chinchina,Chinchiná,Caldas,Parque principal,,,
acopio,centro del municipio,Oficina de Pajoy Tours,Chinchiná,Caldas,,,,
acopio,centro del municipio,La Herencia,Chinchiná,Caldas,,,,
acopio,centro del municipio,Coliseo de Villamaria,Villamaría,Caldas,,,,
acopio,centro del municipio,Bodegas de Varta - sector La Pradera,Villamaría,Caldas,Sector La Pradera,,,
acopio,centro del municipio,Bomberos Voluntarios de Guachene,Guachené,Cauca,,,,
acopio,centro del municipio,Mesa Departamental de Organizaciones Indigenas del Choco,Quibdó,Chocó,"Calle 26 No. 10-16, piso 2, barrio Alameda Reyes",310 347 3045,,
acopio,FUERA DEL MAPA,Unidad Deportiva Jaime Aparicio,Santiago de Cali,Valle del Cauca,,,,
necesidad,centro del municipio,Chocopan por una sonrisa,Bogotá,Bogotá D.C.,Carrera 59 A # 129 - 30,,,
necesidad,centro del municipio,Chocopan por una sonrisa,Bogotá,Bogotá D.C.,Carrera 98 A # 73 - 03,,,
necesidad,centro del municipio,Chocopan por una sonrisa,Bogotá,Bogotá D.C.,Avenida ciudad de cali # 88 - 81,,,
necesidad,centro del municipio,Chocopan por una sonrisa,Bogotá,Bogotá D.C.,Carrera 34 # 11 - 41,,,
necesidad,centro del municipio,Hector Lopez (Edificio Vanessa),Cali,Valle del Cauca,Calle 127 bis # 19 - 93,,,
necesidad,centro del municipio,Damaris Maria Echeverry Holguin,Buenaventura,Valle del Cauca,,,,
necesidad,centro del municipio,Comunidad estudiantil UNAL La Paz,Valledupar,Cesar,,,,
necesidad,centro del municipio,URRAS UNAL,Bogotá,Bogotá D.C.,Carrera 30 # 45-03,,,
necesidad,centro del municipio,La totuma (Gabriela Franco),Bogotá,Bogotá D.C.,Diagonal 54 # 24- 46,,,
